version,arch,params,flags,batch,median_us,min_us,max_us,iters
0.0.2,2->8x2->1,105,-O2,1,0.1329,0.1300,0.1371,936049
0.0.2,20->32x2->3,1827,-O2,1,1.0515,1.0468,1.0558,245801
0.0.2,64->128x3->10,42634,-O2,1,37.6555,37.4387,37.8509,6825
0.0.2,784->128x2->10,118282,-O2,1,86.3064,85.4066,86.9004,2911
0.0.3,2->8x2->1,105,-O2,1,0.1131,0.1116,0.1532,1711859
0.0.3,20->32x2->3,1827,-O2,1,0.6457,0.6427,0.6489,394735
0.0.3,64->128x3->10,42634,-O2,1,17.5279,17.4069,18.0642,14216
0.0.3,784->128x2->10,118282,-O2,1,64.7223,64.3572,75.8629,3884
0.0.3,2->8x2->1,105,-O2,32,0.0797,0.0789,0.0966,2150537
0.0.3,20->32x2->3,1827,-O2,32,0.4882,0.4853,0.5012,401877
0.0.3,64->128x3->10,42634,-O2,32,13.0199,12.9712,13.0982,12265
0.0.3,784->128x2->10,118282,-O2,32,52.7193,52.2910,52.9375,3863
0.0.2,2->8x2->1,105,-O2 -fopenmp-simd,1,0.1419,0.1400,0.1448,2023636
0.0.2,20->32x2->3,1827,-O2 -fopenmp-simd,1,1.0903,1.0451,1.1177,220344
0.0.2,64->128x3->10,42634,-O2 -fopenmp-simd,1,37.8179,37.5165,37.8904,6750
0.0.2,784->128x2->10,118282,-O2 -fopenmp-simd,1,85.8310,85.3108,86.7694,2952
0.0.3,2->8x2->1,105,-O2 -fopenmp-simd,1,0.1071,0.1035,0.1110,2464025
0.0.3,20->32x2->3,1827,-O2 -fopenmp-simd,1,0.5698,0.5573,0.5782,390368
0.0.3,64->128x3->10,42634,-O2 -fopenmp-simd,1,12.9309,12.1321,17.2195,20272
0.0.3,784->128x2->10,118282,-O2 -fopenmp-simd,1,27.1511,26.5888,28.2723,8801
0.0.3,2->8x2->1,105,-O2 -fopenmp-simd,32,0.0813,0.0786,0.0827,2357489
0.0.3,20->32x2->3,1827,-O2 -fopenmp-simd,32,0.4257,0.4065,0.4547,449773
0.0.3,64->128x3->10,42634,-O2 -fopenmp-simd,32,7.8232,7.7642,7.9250,19285
0.0.3,784->128x2->10,118282,-O2 -fopenmp-simd,32,15.8597,15.6639,16.5502,8849
0.0.2,2->8x2->1,105,-O3,1,0.1360,0.1318,0.1381,1540452
0.0.2,20->32x2->3,1827,-O3,1,1.0934,1.0723,1.2694,237812
0.0.2,64->128x3->10,42634,-O3,1,37.8900,37.2214,39.9157,6177
0.0.2,784->128x2->10,118282,-O3,1,87.0315,86.2829,103.3720,2902
0.0.3,2->8x2->1,105,-O3,1,0.1147,0.1112,0.1265,2348299
0.0.3,20->32x2->3,1827,-O3,1,0.6496,0.6431,0.6765,360794
0.0.3,64->128x3->10,42634,-O3,1,17.2964,17.0619,17.6871,14841
0.0.3,784->128x2->10,118282,-O3,1,63.7684,63.2113,64.7079,3864
0.0.3,2->8x2->1,105,-O3,32,0.0815,0.0789,0.0840,2352941
0.0.3,20->32x2->3,1827,-O3,32,0.4881,0.4832,0.4968,369797
0.0.3,64->128x3->10,42634,-O3,32,12.8748,12.8322,13.6604,14392
0.0.3,784->128x2->10,118282,-O3,32,52.1909,51.8179,54.9979,3956
0.0.2,2->8x2->1,105,-O3 -fopenmp-simd,1,0.1456,0.1300,0.1781,1632653
0.0.2,20->32x2->3,1827,-O3 -fopenmp-simd,1,1.1122,1.0709,1.1980,217864
0.0.2,64->128x3->10,42634,-O3 -fopenmp-simd,1,38.1818,37.5929,70.0301,6183
0.0.2,784->128x2->10,118282,-O3 -fopenmp-simd,1,89.6375,86.8396,107.0817,2233
0.0.3,2->8x2->1,105,-O3 -fopenmp-simd,1,0.1147,0.1112,0.1174,2051282
0.0.3,20->32x2->3,1827,-O3 -fopenmp-simd,1,0.5899,0.5787,0.6030,372325
0.0.3,64->128x3->10,42634,-O3 -fopenmp-simd,1,12.7038,12.5897,13.6363,17137
0.0.3,784->128x2->10,118282,-O3 -fopenmp-simd,1,28.3518,28.1008,29.7785,9001
0.0.3,2->8x2->1,105,-O3 -fopenmp-simd,32,0.0840,0.0826,0.0988,2189717
0.0.3,20->32x2->3,1827,-O3 -fopenmp-simd,32,0.4102,0.3994,0.4379,326351
0.0.3,64->128x3->10,42634,-O3 -fopenmp-simd,32,8.0605,7.5784,10.7014,20330
0.0.3,784->128x2->10,118282,-O3 -fopenmp-simd,32,16.9192,16.1756,19.1508,8420
